Operation #,Agency Number,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency,Infant,Toddler,Preschool,School
"1539777","",""Learning 4 Life" Child Care","24606 CORNELL PARK LN ","KATY","TX","77494","HARRIS",281-574-7184,"Licensed Child-Care Home","Full Permit",11/24/2014,12,"","1145145","","Y","Y","Y","Y"
"1592419","","1st Step 2 Life","3738 GRIGGS RD ","HOUSTON","TX","77021","HARRIS",832-491-0603,"Licensed Center - Child Care Program","Full Permit",3/3/2016,86,"","1207956","","Y","Y","Y","Y"
"864918","","1st Step University Child Care","1402 STONEHOLLOW DR ","KINGWOOD","TX","77339","HARRIS",281-358-0699,"Licensed Center - Child Care Program","Full Permit",2/23/2007,75,"","303366","","Y","Y","Y","Y"
"878835","","4 Our Kids Learning Academy","7625 GARTH RD ","BAYTOWN","TX","77521","HARRIS",281-421-9064,"Licensed Center - Child Care Program","Full Permit",2/19/2008,200,"info@4-our-kids.com","324252","","Y","Y","Y","Y"
"196793","","4-R-A-Cat-A-Me","5203 BROWNCROFT ST ","HOUSTON","TX","77021","HARRIS",713-644-2204,"Licensed Center - Child Care Program","Full Permit",4/14/1987,46,"jjenk3@aol.com","100166","","Y","Y","Y","Y"
"538340","","A and B Christian School","3111 FOREST OAKS BLVD ","HOUSTON","TX","77017","HARRIS",713-944-6144,"Licensed Center - Child Care Program","Full Permit",2/25/1999,100,"","157023","","Y","Y","Y","Y"
"555583","","A And C Arms Of Love CCE","4617 MAGGIE ST ","HOUSTON","TX","77051","HARRIS",713-734-4070,"Licensed Center - Child Care Program","Full Permit",12/12/2001,37,"acarmsoflove@yahoo.com","170527","","Y","Y","Y","Y"
"888211","","A Big Place 4 Little People Daycare 2","4201 FRIENDSWOOD LINK RD ","FRIENDSWOOD","TX","77546","HARRIS",281-648-5000,"Licensed Center - Child Care Program","Full Permit",7/7/2008,105,"stefanie.hall@abigplace.com","342964","","Y","Y","Y","Y"
"1624533","","A Child's Reflection","875 S FRY RD ","KATY","TX","77450","HARRIS",281-492-1229,"Licensed Center - Child Care Program","Full Permit",11/30/2016,179,"","1242567","","Y","Y","Y","Y"
"906894","","A Childs Pointe Day Care","17711 DECEMBER PINE LN ","SPRING","TX","77379","HARRIS",832-717-6368,"Licensed Child-Care Home","Full Permit",3/24/2009,12,"donna24.7@att.net","368151","","Y","Y","Y","Y"
"1548085","","A La Chateau Center INC.","6955 ALMEDA RD ","HOUSTON","TX","77021","HARRIS",713-520-0165,"Licensed Center - Child Care Program","Full Permit",2/27/2015,93,"","1156303","","Y","Y","Y","Y"
"1645397","","A Life Christian Academy","6020 GUADALUPE ST ","HOUSTON","TX","77016","HARRIS",281-227-5751,"Licensed Center - Child Care Program","Initial",1/27/2017,80,"","1267924","","Y","Y","Y","Y"
"1569180","","A Little Star's Academy","17214 RED OAK DR ","HOUSTON","TX","77090","HARRIS",832-705-8082,"Licensed Center - Child Care Program","Full Permit",5/2/2016,88,"","1182685","","Y","Y","Y","Y"
"1600916","","A New Beginning Childcare","10910 ALSETH CIR ","HOUSTON","TX","77086","HARRIS",832-446-3777,"Licensed Child-Care Home","Full Permit",3/16/2016,12,"","1216580","","Y","Y","Y","Y"
"1473586","","A Place for Children","11221 BISSONNET ST ","HOUSTON","TX","77099","HARRIS",281-568-7100,"Licensed Center - Child Care Program","Full Permit",8/7/2013,109,"","1060428","","Y","Y","Y","Y"
"1522689","","A Place For Children Too Inc.","12319 BELLAIRE BLVD STE 700","HOUSTON","TX","77072","HARRIS",281-598-4040,"Licensed Center - Child Care Program","Full Permit",3/21/2014,77,"","1121060","","Y","Y","Y","Y"
"1626041","","A Plus Academy","5112A ANTOINE DR ","HOUSTON","TX","77092","HARRIS",832-516-9132,"Licensed Center - Child Care Program","Initial",9/6/2016,34,"aplusacademy1@hotmail.com","1244646","","N","Y","Y","Y"
"1412135","","A Positive Place Child Care, LLC","20815 HICKORY FARM DR ","KATY","TX","77449","HARRIS",281-250-4923,"Licensed Child-Care Home","Full Permit",8/7/2012,12,"","983825","","Y","Y","Y","Y"
"1509056","","A Rocking Chair","14018 ALICE RD ","TOMBALL","TX","77377","HARRIS",281-516-3741,"Licensed Child-Care Home","Full Permit",2/7/2013,12,"arockingchair@hotmail.com","1104511","","Y","Y","Y","Y"
"830499","","A to Z Learning Center","400 N WALNUT ST ","TOMBALL","TX","77375","HARRIS",713-249-8606,"Licensed Center - Child Care Program","Full Permit",12/18/2003,12,"atozlearning@gmail.com","231391","","N","Y","Y","Y"
"1413986","","A+ Quality Childcare Home","2110 TOMLINSON TRAIL DR ","HOUSTON","TX","77067","HARRIS",281-710-7862,"Licensed Child-Care Home","Full Permit",7/2/2012,12,"","985673","","Y","Y","Y","Y"
"1468086","","A-1 Montessori","12805 WESTHEIMER RD STE B","HOUSTON","TX","77077","HARRIS",281-293-7323,"Licensed Center - Child Care Program","Full Permit",12/14/2012,19,"","1053089","","N","Y","Y","Y"
"898646","","A.B.C. Child Care Services","1900 CAROLINA ST ","BAYTOWN","TX","77520","HARRIS",281-420-1091,"Licensed Center - Child Care Program","Full Permit",1/14/2009,41,"lauraeabc@hotmail.com","359282","","Y","Y","Y","Y"
"533187","","AAMA Sanchez High School","6001 GULF FWY ","HOUSTON","TX","77023","HARRIS",713-929-2300,"Licensed Center - Child Care Program","Full Permit",2/12/1999,91,"amedina@aama.org","153069","","Y","Y","Y","N"
"1629242","","Abbey Academy Daycare","6650 RANKIN RD ","HUMBLE","TX","77396","HARRIS",832-995-5738,"Licensed Center - Child Care Program","Full Permit",1/12/2017,65,"","1249249","","N","Y","Y","Y"
"141005","","ABC 123 A Cat A Me","10914 CULLEN BLVD ","HOUSTON","TX","77047","HARRIS",713-733-8365,"Licensed Center - Child Care Program","Full Permit",9/2/1992,89,"zsana@aol.com","97094","","Y","Y","Y","Y"
"540511","","ABC Child Development Center NO 3","202 W PASADENA BLVD ","DEER PARK","TX","77536","HARRIS",281-476-4472,"Licensed Center - Child Care Program","Full Permit",6/9/1999,95,"Kathyabc@sbcglobal.net","158731","","Y","Y","Y","Y"
"851974","","ABC Children's Academy","7380 SENATE AVE ","JERSEY VILLAGE","TX","77040","HARRIS",713-896-7700,"Licensed Center - Child Care Program","Full Permit",2/2/2006,143,"RODDI.BLACKMAN@SBCGLOBAL.NET","278133","","Y","Y","Y","Y"
